Title,Location,Area,Status,Price,Year,Bathroom,District
3 BHK Apartment,,1700,Ready to move,1.75,,,South/West/Central Delhi
3 BHK Independent Floor,,1450,Ready to move,1.65,,,South/West/Central Delhi
3 BHK Apartment,,1100,Ready to move,1.5,,,South/West/Central Delhi
4 BHK Apartment,,1400,Ready to move,92,,,South-West Delhi
3 BHK Apartment,,900,Ready to move,62,,,South-West Delhi
4 BHK Apartment,,5236,Under Construction,10.3,,,South/West/Central Delhi
4 BHK Apartment,,5236,Under Construction,10.1,,,South/West/Central Delhi
4 BHK Apartment,,5236,Under Construction,9.9,,,South/West/Central Delhi
4 BHK Apartment,,3740,Under Construction,7.9,,,South/West/Central Delhi
4 BHK Apartment,,3740,Under Construction,7.75,,,South/West/Central Delhi
4 BHK Apartment,,3740,Under Construction,7.6,,,South/West/Central Delhi
4 BHK Apartment,,3740,Under Construction,7.45,,,South/West/Central Delhi
1 BHK Apartment,,548,Ready to move,38,,,South-West Delhi
4 BHK Apartment,,1850,Ready to move,2,,,South/West/Central Delhi
4 BHK Apartment,,2650,Ready to move,2.5,,,South/West/Central Delhi
3 BHK Apartment,,1650,Ready to move,1.3,,,South/West/Central Delhi
4 BHK Apartment,,2200,Ready to move,1.9,,,South/West/Central Delhi
3 BHK Independent Floor,,1050,Ready to move,1.1,,,South/West/Central Delhi
3 BHK Independent Floor,,950,Ready to move,80,,,South-West Delhi
2 BHK Apartment,"Dwarka Mor, Delhi",1450,Under Construction,32.5,,2 Bathrooms,South-West Delhi
2 BHK Apartment,"Uttam Nagar, Delhi",1350,Under Construction,20.5,,2 Bathrooms,South-West Delhi
3 BHK Apartment,"Uttam Nagar, Delhi",1350,Under Construction,31.5,,2 Bathrooms,South-West Delhi
1 BHK Independent Floor,"Uttam Nagar, Delhi",650,Ready to move,18.5,,2 - 3 years old,South-West Delhi
3 BHK Apartment,"Uttam Nagar, Delhi",1850,Under Construction,68.5,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,"Katwaria Sarai, Delhi",900,Ready to move,90,,2 Bathrooms,South-West Delhi
2 BHK Independent Floor,"Ramesh Nagar, Delhi",1350,Ready to move,1.4,,3 Bathrooms,South/West/Central Delhi
1 BHK Independent Floor,"Palam, Delhi",400,Ready to move,19,,1 Bathrooms,South-West Delhi
2 BHK Independent Floor,"Sector 8 Dwarka, Delhi",650,Ready to move,74,,3 years old,South-West Delhi
5 BHK Apartment,"Karol Bagh, Delhi",5236,Under Construction,10.8,,5 Bathrooms,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",5236,Under Construction,10.6,,5 Bathrooms,South/West/Central Delhi
3 BHK Apartment,"Sector 7 Dwarka, Delhi",800,Under Construction,57,,Possession by Dec 2022,South-West Delhi
2 BHK Apartment,"Sector 7 Dwarka, Delhi",600,Under Construction,39.5,,Possession by Dec 2022,South-West Delhi
3 BHK Apartment,"Sector 7 Dwarka, Delhi",720,Under Construction,52,,Possession by Nov 2022,South-West Delhi
2 BHK Apartment,"Sector 7 Dwarka, Delhi",540,Under Construction,36,,Possession by Nov 2022,South-West Delhi
3 BHK Apartment,"Sector 7 Dwarka, Delhi",800,Under Construction,54,,Possession by Nov 2022,South-West Delhi
2 BHK Apartment,"Sector 7 Dwarka, Delhi",600,Under Construction,38,,Possession by Nov 2022,South-West Delhi
2 BHK Independent Floor,"Ramesh Nagar, Delhi",900,Ready to move,75,,2 Bathrooms,South-West Delhi
3 BHK Independent Floor,"Palam, Delhi",1000,Ready to move,50,,2 Bathrooms,South-West Delhi
2 BHK Apartment,"Sector 11 Dwarka, Delhi",1200,Ready to move,1.12,,2 Bathrooms,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",3740,Under Construction,7.25,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2701,Under Construction,5.65,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2701,Under Construction,5.4,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2701,Under Construction,5.15,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2701,Under Construction,5.5,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2701,Under Construction,5.3,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2618,Under Construction,5.3,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2618,Under Construction,5.15,,New,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2618,Under Construction,5.05,,New,South/West/Central Delhi
3 BHK Independent Floor,"Sector 8 Dwarka, Delhi",1890,Ready to move,1.66,,3 Bathrooms,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2618,Under Construction,4.95,,New,South/West/Central Delhi
3 BHK Apartment,"Chattarpur, Delhi",3300,Under Construction,5.78,,4 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,"Sector 8 Dwarka, Delhi",648,Ready to move,47,,2 Bathrooms,South-West Delhi
3 BHK Apartment,"Dwarka Mor, Delhi",900,Under Construction,62.5,,New,South-West Delhi
3 BHK Apartment,"Patparganj, Delhi",1100,Ready to move,1,,Resale,South/West/Central Delhi
3 BHK Apartment,"Karampura, Delhi",1686,Ready to move,2.79,,2 Bathrooms,South/West/Central Delhi
3 BHK Apartment,"Karampura, Delhi",1700,Ready to move,3.03,,3 Bathrooms,South/West/Central Delhi
3 BHK Apartment,"Karampura, Delhi",1700,Ready to move,3.09,,3 Bathrooms,South/West/Central Delhi
3 BHK Apartment,"Karampura, Delhi",1700,Ready to move,3.12,,3 Bathrooms,South/West/Central Delhi
3 BHK Apartment,"Lajpat Nagar II, Delhi",1575,Ready to move,2.25,,Resale,South/West/Central Delhi
2 BHK Apartment,"Uttam Nagar, Delhi",1350,Ready to move,21,,,South-West Delhi
2 BHK Independent Floor,"Neb Sarai, Delhi",850,Ready to move,27,,,South-West Delhi
3 BHK Apartment,"Vasant Kunj, Delhi",1700,Ready to move,3,,,South/West/Central Delhi
2 BHK Independent Floor,"Shastri Nagar, Delhi",500,Ready to move,42,,,South-West Delhi
4 BHK Independent Floor,"Rohini sector 24, Delhi",3000,Ready to move,3.6,,,South/West/Central Delhi
2 BHK Independent Floor,"Sector 22 Rohini, Delhi",750,Ready to move,54,,,South-West Delhi
4 BHK Independent Floor,"Rohini sector 24, Delhi",1600,Ready to move,2.1,,,South/West/Central Delhi
2 BHK Independent Floor,"Sector 22 Rohini, Delhi",480,Ready to move,25.5,,,South-West Delhi
2 BHK Independent Floor,"Rohini sector 24, Delhi",800,Ready to move,48,,,South-West Delhi
3 BHK Independent Floor,"Rohini sector 24, Delhi",800,Ready to move,68,,,South-West Delhi
2 BHK Independent Floor,"Sector 22 Rohini, Delhi",480,Ready to move,25,,,South-West Delhi
3 BHK Independent Floor,"Sector 25 Rohini, Delhi",900,Ready to move,75,,,South-West Delhi
1 BHK Independent House,"Shahdara, Delhi",432,Ready to move,70,,,South-West Delhi
3 BHK Apartment,"Uttam Nagar, Delhi",1000,Under Construction,47,,,South-West Delhi
4 BHK Apartment,"Sector-18 Dwarka, Delhi",1850,Ready to move,2,,,South/West/Central Delhi
4 BHK Apartment,"Sector 19 Dwarka, Delhi",2650,Ready to move,2.5,,,South/West/Central Delhi
3 BHK Apartment,"Sector 6 Dwarka, Delhi",1650,Ready to move,1.3,,,South/West/Central Delhi
4 BHK Apartment,"Sector 5 Dwarka, Delhi",2200,Ready to move,1.9,,,South/West/Central Delhi
3 BHK Independent Floor,"Janakpuri, Delhi",1000,Ready to move,1.15,,,South/West/Central Delhi
4 BHK Independent Floor,"Anand Vihar, Delhi",2200,Ready to move,4,,,South/West/Central Delhi
3 BHK Independent Floor,,1728,Ready to move,3.9,,3 Bathrooms,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,6,,4 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1350,Ready to move,2.5,,2 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1350,Ready to move,2.4,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent House,,1350,Ready to move,2.4,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1730,Ready to move,3.8,,3 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,,600,Ready to move,27,,5 - 6 years old,South-West Delhi
3 BHK Independent Floor,,1750,Ready to move,3.25,,3 Bathrooms,South/West/Central Delhi
3 BHK Apartment,,1580,Ready to move,2.57,,6 - 7 years old,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,3,,4 - 5 years old,South/West/Central Delhi
3 BHK Independent Floor,,1125,Ready to move,1.45,,3 Bathrooms,South/West/Central Delhi
2 BHK Independent Floor,,900,Ready to move,1.25,,2 Bathrooms,South/West/Central Delhi
3 BHK Apartment,,1350,Ready to move,72,,2 Bathrooms,South-West Delhi
1 BHK Apartment,,450,Ready to move,17,,1 Bathrooms,South/West/Central Delhi
1 BHK Apartment,,450,Ready to move,22.5,,1 Bathrooms,South-West Delhi
1 BHK Apartment,,450,Ready to move,16,,1 Bathrooms,South/West/Central Delhi
2 BHK Apartment,,750,Ready to move,35,,3 Bathrooms,South-West Delhi
2 BHK Apartment,,700,Ready to move,36,,2 Bathrooms,South-West Delhi
1 BHK Apartment,,450,Ready to move,21,,1 Bathrooms,South-West Delhi
3 BHK Apartment,,2000,Ready to move,2.45,,3 Bathrooms,South/West/Central Delhi
3 BHK Independent Floor,,1125,Ready to move,1.5,,,South/West/Central Delhi
2 BHK Independent Floor,,900,Ready to move,1.38,,,South/West/Central Delhi
3 BHK Independent Floor,,2925,Ready to move,19,,,South-West Delhi
2 BHK Apartment,,650,Ready to move,38,,,South-West Delhi
1 BHK Apartment,,450,Ready to move,20,,,South-West Delhi
2 BHK Independent Floor,,675,Ready to move,95,,,South-West Delhi
2 BHK Independent Floor,,585,Ready to move,26,,,South-West Delhi
3 BHK Independent Floor,,1683,Ready to move,3.5,,,South/West/Central Delhi
4 BHK Independent Floor,,1854,Under Construction,3.6,,,South/West/Central Delhi
3 BHK Independent Floor,,902,Ready to move,1.35,,,South/West/Central Delhi
3 BHK Independent Floor,,1198,Ready to move,2.35,,,South/West/Central Delhi
4 BHK Independent Floor,,2500,Ready to move,4,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,5,,,South/West/Central Delhi
3 BHK Independent Floor,,1575,Under Construction,3.1,,,South/West/Central Delhi
3 BHK Independent Floor,,1350,Ready to move,2.25,,,South/West/Central Delhi
3 BHK Independent Floor,,903,Ready to move,1.45,,,South/West/Central Delhi
3 BHK Independent Floor,,1665,Ready to move,3,,,South/West/Central Delhi
3 BHK Independent Floor,,1194,Ready to move,2,,,South/West/Central Delhi
3 BHK Independent Floor,,904,Ready to move,1.55,,,South/West/Central Delhi
4 BHK Independent Floor,,2160,Ready to move,3.4,,,South/West/Central Delhi
3 BHK Independent Floor,"Dwarka Sector 15, Delhi",1050,Ready to move,60,,,South-West Delhi
2 BHK Independent Floor,"Raju Parak Extension, Delhi",520,Ready to move,27,,,South-West Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2618,Under Construction,4.85,,,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",3740,Under Construction,7.15,,,South/West/Central Delhi
5 BHK Apartment,"Karol Bagh, Delhi",5236,Under Construction,9.5,,,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2701,Under Construction,5.45,,,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2618,Under Construction,5.25,,,South/West/Central Delhi
4 BHK Apartment,"Karol Bagh, Delhi",2618,Under Construction,5.15,,,South/West/Central Delhi
3 BHK Independent Floor,"Paschim Vihar, Delhi",1687,Ready to move,2.75,,,South/West/Central Delhi
3 BHK Independent Floor,"Paschim Vihar, Delhi",1687,Ready to move,2.5,,,South/West/Central Delhi
3 BHK Independent Floor,"Paschim Vihar, Delhi",1687,Ready to move,2.7,,,South/West/Central Delhi
3 BHK Apartment,"Sarita Vihar, Delhi",1450,Ready to move,1.8,,,South/West/Central Delhi
2 BHK Independent Floor,"Paschim Vihar, Delhi",750,Ready to move,85,,,South-West Delhi
3 BHK Apartment,"Sarita Vihar, Delhi",1400,Ready to move,2,,,South/West/Central Delhi
3 BHK Apartment,"Sarita Vihar, Delhi",1400,Ready to move,1.7,,,South/West/Central Delhi
3 BHK Apartment,"Sarita Vihar, Delhi",1450,Ready to move,1.75,,,South/West/Central Delhi
2 BHK Apartment,"vikaspuri, Delhi",600,Ready to move,55,,,South-West Delhi
4 BHK Independent Floor,"Panchsheel Park, Delhi",4500,Ready to move,6,,,South/West/Central Delhi
4 BHK Independent Floor,"Greater Kailash, Delhi",4500,Ready to move,7.75,,,South/West/Central Delhi
4 BHK Independent Floor,"South Extension 2, Delhi",4500,Ready to move,8,,,South/West/Central Delhi
4 BHK Independent Floor,,3348,Ready to move,11,,,South/West/Central Delhi
3 BHK Independent Floor,,1050,Ready to move,48,,,South-West Delhi
3 BHK Independent Floor,,810,Ready to move,42,,,South-West Delhi
2 BHK Independent Floor,,520,Ready to move,27,,,South-West Delhi
5 BHK Apartment,,5402,Under Construction,10,,,South/West/Central Delhi
3 BHK Independent Floor,,810,Ready to move,45,,,South-West Delhi
3 BHK Independent Floor,,1050,Ready to move,1.1,,,South/West/Central Delhi
3 BHK Independent Floor,,900,Ready to move,84,,,South-West Delhi
4 BHK Independent Floor,,2493,Ready to move,3.75,,,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,3.25,,,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,2.9,,,South/West/Central Delhi
4 BHK Independent Floor,,2699,Under Construction,5.5,,,South/West/Central Delhi
3 BHK Independent Floor,,901,Ready to move,1.45,,,South/West/Central Delhi
3 BHK Independent Floor,,1195,Under Construction,2.2,,,South/West/Central Delhi
3 BHK Independent Floor,,1620,Ready to move,2.8,,,South/West/Central Delhi
2 BHK Independent Floor,,650,Ready to move,26,,,South-West Delhi
3 BHK Independent Floor,,1050,Ready to move,47,,,South-West Delhi
3 BHK Independent Floor,,820,Ready to move,42,,,South-West Delhi
4 BHK Independent Floor,,1100,Ready to move,62,,,South-West Delhi
3 BHK Independent Floor,,1050,Ready to move,55,,,South-West Delhi
4 BHK Independent Floor,,2700,Ready to move,4.3,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,4.4,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,4.5,,,South/West/Central Delhi
4 BHK Independent,,2700,Ready to move,6,,,South/West/Central Delhi
3 BHK Independent Floor,,2250,Ready to move,3.5,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,3.4,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,3.3,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,4.5,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,4.3,,,South/West/Central Delhi
3 BHK Independent Floor,,2250,Ready to move,3.5,,,South/West/Central Delhi
3 BHK Independent Floor,,2250,Ready to move,3.3,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,4.6,,,South/West/Central Delhi
4 BHK Independent Floor,,2700,Ready to move,5.75,,,South/West/Central Delhi
3 BHK Independent Floor,,2250,Ready to move,3.5,,,South/West/Central Delhi
3 BHK Independent Floor,,2250,Ready to move,3.4,,,South/West/Central Delhi
3 BHK Independent Floor,,2205,Under Construction,5.25,,,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,2,,,South/West/Central Delhi
2 BHK Independent House,,765,Ready to move,4,,,South/West/Central Delhi
4 BHK Independent Floor,,2150,Ready to move,4,,,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,1.75,,,South/West/Central Delhi
2 BHK Apartment,"Dwarka Mor, Delhi",700,Ready to move,28,,,South-West Delhi
1 BHK Apartment,"Uttam Nagar, Delhi",450,Ready to move,16,,,South/West/Central Delhi
2 BHK Apartment,"Dwarka Mor, Delhi",650,Ready to move,25,,,South-West Delhi
2 BHK Apartment,"Uttam Nagar, Delhi",700,Ready to move,28,,,South-West Delhi
2 BHK Apartment,"Uttam Nagar, Delhi",650,Ready to move,25,,,South-West Delhi
3 BHK Apartment,"Dwarka Mor, Delhi",850,Ready to move,32,,,South-West Delhi
3 BHK Apartment,"Uttam Nagar, Delhi",850,Ready to move,32,,,South-West Delhi
2 BHK Apartment,"Dwarka Mor, Delhi",600,Ready to move,22,,,South-West Delhi
2 BHK Apartment,"Uttam Nagar, Delhi",600,Ready to move,22,,,South-West Delhi
3 BHK Apartment,"Sector 22 Dwarka, Delhi",1600,Ready to move,1.5,,,South/West/Central Delhi
3 BHK Apartment,"Sector 19 Dwarka, Delhi",1550,Ready to move,1.6,,,South/West/Central Delhi
3 BHK Apartment,"Sector-18 Dwarka, Delhi",1700,Ready to move,2.05,,,South/West/Central Delhi
3 BHK Apartment,"Sector 6 Dwarka, Delhi",1700,Ready to move,1.78,,,South/West/Central Delhi
2 BHK Apartment,"Shanti Park Dwarka, Delhi",1250,Ready to move,1.1,,,South/West/Central Delhi
2 BHK Independent Floor,"Lajpat Nagar, Delhi",950,Ready to move,1.45,,,South/West/Central Delhi
2 BHK Independent Floor,"Lajpat Nagar II, Delhi",900,Ready to move,1.3,,,South/West/Central Delhi
3 BHK Independent Floor,"Jangpura, Delhi",1800,Ready to move,4.75,,,South/West/Central Delhi
3 BHK Independent Floor,"Jangpura, Delhi",1800,Ready to move,4.5,,,South/West/Central Delhi
3 BHK Independent Floor,"Jangpura, Delhi",1800,Ready to move,4.5,,,South/West/Central Delhi
2 BHK Independent Floor,"Lajpat Nagar, Delhi",900,Ready to move,1.5,,,South/West/Central Delhi
4 BHK Independent Floor,"Rajouri Garden, Delhi",4500,Ready to move,4.75,,,South/West/Central Delhi
4 BHK Independent Floor,"Rajouri Garden, Delhi",4500,Ready to move,3.5,,,South/West/Central Delhi
4 BHK Independent Floor,"Punjabi Bagh, Delhi",4650,Ready to move,8.4,,,South/West/Central Delhi
2 BHK Independent Floor,"Tagore Garden Extension, Delhi",800,Ready to move,70,,,South-West Delhi
3 BHK Independent Floor,"Tagore Garden Extension, Delhi",1750,Ready to move,2.2,,,South/West/Central Delhi
3 BHK Independent Floor,"Rohini sector 16, Delhi",1100,Ready to move,1.5,,,South/West/Central Delhi
4 BHK Apartment,"Sector 11 Dwarka, Delhi",2400,Ready to move,2.3,,,South/West/Central Delhi
3 BHK Apartment,"Sector 3 Dwarka, Delhi",1800,Ready to move,1.7,,,South/West/Central Delhi
3 BHK Apartment,"Sector 9 Dwarka, Delhi",1700,Ready to move,1.55,,,South/West/Central Delhi
3 BHK Apartment,"Sector 22 Dwarka, Delhi",1800,Ready to move,1.7,,,South/West/Central Delhi
4 BHK Apartment,"Sector 22 Dwarka, Delhi",2400,Ready to move,2.25,,,South/West/Central Delhi
2 BHK Apartment,"Sector 13 Dwarka, Delhi",1200,Ready to move,1.05,,,South/West/Central Delhi
3 BHK Apartment,"Sector 4 Dwarka, Delhi",1750,Ready to move,1.95,,,South/West/Central Delhi
3 BHK Apartment,"Sector 22 Dwarka, Delhi",1700,Ready to move,1.8,,,South/West/Central Delhi
4 BHK Apartment,"Sector 5 Dwarka, Delhi",2400,Ready to move,1.6,,,South/West/Central Delhi
3 BHK Apartment,"Sector 2 Dwarka, Delhi",1700,Ready to move,1.55,,,South/West/Central Delhi
4 BHK Apartment,"Sector 5 Dwarka, Delhi",2600,Ready to move,2.35,,,South/West/Central Delhi
3 BHK Apartment,"Sector 11 Dwarka, Delhi",1700,Ready to move,1.65,,,South/West/Central Delhi
4 BHK Apartment,"Sector 12 Dwarka, Delhi",2400,Ready to move,1.65,,,South/West/Central Delhi
2 BHK Apartment,"Sector 11 Dwarka, Delhi",1200,Ready to move,1.26,,,South/West/Central Delhi
4 BHK Apartment,,2400,Ready to move,2.5,,,South/West/Central Delhi
3 BHK Apartment,,1800,Ready to move,2.3,,,South/West/Central Delhi
3 BHK Independent Floor,,1890,Ready to move,1.55,,,South/West/Central Delhi
3 BHK Independent Floor,,1250,Ready to move,1,,,South/West/Central Delhi
3 BHK Independent Floor,,900,Ready to move,70,,,South-West Delhi
2 BHK Independent Floor,,720,Ready to move,65,,,South-West Delhi
4 BHK Apartment,,1600,Ready to move,2.25,,,South/West/Central Delhi
2 BHK Independent House,,450,Ready to move,1.27,,,South/West/Central Delhi
2 BHK Independent Floor,,450,Ready to move,45,,,South-West Delhi
1 RK Studio Apartment,,720,Ready to move,75,,,South-West Delhi
3 BHK Independent Floor,,900,Ready to move,1,,,South/West/Central Delhi
3 BHK Independent Floor,,1950,Ready to move,3.1,,,South/West/Central Delhi
3 BHK Independent Floor,,950,Ready to move,90,,,South-West Delhi
3 BHK Independent Floor,,950,Ready to move,90,,,South-West Delhi
3 BHK Independent Floor,,950,Ready to move,75,,,South-West Delhi
3 BHK Independent Floor,,1000,Ready to move,1,,,South/West/Central Delhi
2 BHK Independent Floor,,450,Ready to move,32,,,South-West Delhi
3 BHK Independent Floor,,900,Ready to move,75,,,South-West Delhi
3 BHK Independent Floor,,950,Ready to move,50,,,South-West Delhi
3 BHK Apartment,,1800,Ready to move,1.86,,,South/West/Central Delhi
3 BHK Apartment,"Bindapur, Delhi",1450,Under Construction,32.5,,,South-West Delhi
4 BHK Apartment,"Sector-18 Dwarka, Delhi",2400,Ready to move,2.5,,,South/West/Central Delhi
3 BHK Apartment,"Sector 10 Dwarka, Delhi",2000,Ready to move,1.51,,,South/West/Central Delhi
1 BHK Apartment,"Sector 14 Dwarka, Delhi",548,Ready to move,57,,,South-West Delhi
3 BHK Apartment,"Sector 4 Dwarka, Delhi",1700,Ready to move,1.5,,,South/West/Central Delhi
4 BHK Apartment,"Sector 22 Dwarka, Delhi",1950,Ready to move,1.88,,,South/West/Central Delhi
3 BHK Apartment,"Sector 12 Dwarka, Delhi",1700,Ready to move,1.8,,,South/West/Central Delhi
3 BHK Apartment,"Sector 13 Dwarka, Delhi",1800,Ready to move,2.35,,,South/West/Central Delhi
4 BHK Apartment,"Sector 22 Dwarka, Delhi",2400,Ready to move,2.6,,,South/West/Central Delhi
3 BHK Independent Floor,"Chittaranjan Park, Delhi",1350,Ready to move,1.9,,,South/West/Central Delhi
4 BHK Apartment,"Sector 6 Dwarka, Delhi",2800,Ready to move,2.8,,,South/West/Central Delhi
3 BHK Apartment,"Sector 22 Dwarka, Delhi",1700,Ready to move,1.52,,,South/West/Central Delhi
2 BHK Apartment,"Sector 19 Dwarka, Delhi",1250,Ready to move,95.5,,,South-West Delhi
3 BHK Apartment,"Sector 23 Dwarka, Delhi",1850,Ready to move,1.55,,,South/West/Central Delhi
2 BHK Apartment,"Sector 9 Dwarka, Delhi",1400,Ready to move,1.3,,,South/West/Central Delhi
4 BHK Apartment,"Sector 3 Dwarka, Delhi",2300,Ready to move,2.05,,,South/West/Central Delhi
3 BHK Apartment,"Sector-18 Dwarka, Delhi",1850,Ready to move,1.65,,,South/West/Central Delhi
3 BHK Apartment,"Sector-18 Dwarka, Delhi",1800,Ready to move,1.7,,,South/West/Central Delhi
4 BHK Apartment,"Sector 11 Dwarka, Delhi",1900,Ready to move,2.1,,,South/West/Central Delhi
3 BHK Apartment,"Sector 11 Dwarka, Delhi",1750,Ready to move,1.68,,,South/West/Central Delhi
3 BHK Independent Floor,,1890,Ready to move,1.52,,,South/West/Central Delhi
4 BHK Independent Floor,,2160,Ready to move,4,,,South/West/Central Delhi
4 BHK Independent Floor,,2800,Ready to move,4,,,South/West/Central Delhi
3 BHK Independent Floor,,1800,Ready to move,2.2,,,South/West/Central Delhi
4 BHK Independent Floor,,2000,Ready to move,3.25,,,South/West/Central Delhi
3 BHK Independent Floor,,1100,Ready to move,1.75,,,South/West/Central Delhi
2 BHK Independent Floor,,750,Ready to move,85,,,South-West Delhi
4 BHK Independent Floor,,1500,Ready to move,2.3,,,South/West/Central Delhi
3 BHK Apartment,,1350,Ready to move,1.1,,,South/West/Central Delhi
3 BHK Apartment,,1350,Ready to move,1.07,,,South/West/Central Delhi
2 BHK Apartment,,1250,Ready to move,1.25,,,South/West/Central Delhi
3 BHK Apartment,,1700,Ready to move,2.05,,,South/West/Central Delhi
3 BHK Apartment,,1600,Ready to move,1.63,,,South/West/Central Delhi
3 BHK Apartment,,1600,Ready to move,1.37,,,South/West/Central Delhi
1 BHK Independent House,,450,Ready to move,1.25,,,South/West/Central Delhi
3 BHK Apartment,,1800,Ready to move,2.7,,,South/West/Central Delhi
2 BHK Apartment,,1000,Ready to move,75,,,South-West Delhi
3 BHK Apartment,,1600,Ready to move,1.6,,,South/West/Central Delhi
3 BHK Apartment,,1700,Ready to move,1.89,,,South/West/Central Delhi
2 BHK Apartment,,1000,Ready to move,69,,,South-West Delhi
3 BHK Independent House,"Gokalpur, Delhi",675,Ready to move,75,,,South-West Delhi
3 BHK Apartment,"Sector 22 Dwarka, Delhi",1700,Ready to move,1.79,,,South/West/Central Delhi
4 BHK Apartment,"Sector 10 Dwarka, Delhi",2400,Ready to move,2.35,,,South/West/Central Delhi
3 BHK Apartment,"Sector-18 Dwarka, Delhi",1700,Ready to move,1.75,,,South/West/Central Delhi
3 BHK Apartment,"Sector 6 Dwarka, Delhi",1700,Ready to move,1.7,,,South/West/Central Delhi
3 BHK Apartment,"Sector 3 Dwarka, Delhi",1750,Ready to move,1.98,,,South/West/Central Delhi
3 BHK Apartment,"Sector 6 Dwarka, Delhi",1700,Ready to move,1.56,,,South/West/Central Delhi
3 BHK Apartment,"Sector 10 Dwarka, Delhi",1750,Ready to move,2.5,,,South/West/Central Delhi
2 BHK Independent Floor,"Dwarka Mor, Delhi",500,Ready to move,23,,,South-West Delhi
1 BHK Independent Floor,"Dwarka Mor, Delhi",450,Ready to move,20,,,South-West Delhi
1 BHK Independent Floor,"Dwarka Mor, Delhi",400,Ready to move,18,,,South/West/Central Delhi
1 BHK Independent Floor,"Dwarka Mor, Delhi",350,Ready to move,15,,,South/West/Central Delhi
3 BHK Independent Floor,"Dwarka Mor, Delhi",800,Ready to move,42,,,South-West Delhi
3 BHK Independent Floor,"Dwarka Mor, Delhi",750,Ready to move,38,,,South-West Delhi
2 BHK Independent Floor,"Dwarka Mor, Delhi",600,Ready to move,28,,,South-West Delhi
2 BHK Independent Floor,"Dwarka Mor, Delhi",550,Ready to move,26,,,South-West Delhi
4 BHK Apartment,"Hauz Khas, Delhi",4500,Ready to move,7.5,,,South/West/Central Delhi
3 BHK Apartment,"Dwarka Mor, Delhi",900,Ready to move,45,,,South-West Delhi
2 BHK Apartment,"Dwarka Mor, Delhi",500,Ready to move,23,,,South-West Delhi
1 BHK Apartment,"Dwarka Mor, Delhi",400,Ready to move,18,,,South/West/Central Delhi
2 BHK Apartment,,1400,Ready to move,1.65,,,South/West/Central Delhi
2 BHK Apartment,,1000,Ready to move,1.05,,,South/West/Central Delhi
3 BHK Apartment,,1350,Ready to move,1.2,,,South/West/Central Delhi
3 BHK Apartment,,1350,Ready to move,1.1,,,South/West/Central Delhi
3 BHK Apartment,,1450,Ready to move,1.85,,,South/West/Central Delhi
3 BHK Independent Floor,,1100,Ready to move,1.4,,,South/West/Central Delhi
2 BHK Independent Floor,,750,Ready to move,72,,,South-West Delhi
3 BHK Independent House,,675,Ready to move,75,,,South-West Delhi
3 BHK Independent Floor,,2000,Ready to move,3,,,South/West/Central Delhi
2 BHK Independent Floor,,900,Ready to move,1.1,,,South/West/Central Delhi
2 BHK Apartment,,570,Ready to move,33,,,South-West Delhi
3 BHK Apartment,,950,Ready to move,50,,,South-West Delhi
